de,            de_forms,                                                                      en,             en_expanded,          irregular, freq_percentile, de_expanded, de_examples, en_examples
graben         ,graben       ;gräbt            ;grub               ;hat#gegraben              ,dig            ,                     ,true, 0.5,,,
greifen        ,greifen      ;greift           ;griff              ;hat#gegriffen             ,grab           ,                     ,true, 0.5,,,
haben          ,haben        ;hat#             ;hatte              ;hat#gehabt                ,have           ,                     ,true, 0.5,,,
halten         ,halten       ;hält             ;hielt              ;hat#gehalten              ,hold           ,                     ,true, 0.5,,,
hängen         ,hängen       ;hängt            ;hing               ;hat#gehangen              ,hang           ,                     ,true, 0.5,,,
hauen          ,hauen        ;haut             ;haute/hieb         ;hat/ist#gehauen           ,chop           ,                     ,true, 0.5,,,
heben          ,heben        ;hebt             ;hob                ;hat#gehoben               ,lift           ,                     ,true, 0.5,,,
heißen         ,heißen       ;heißt            ;hieß               ;hat#geheißen              ,call           ,                     ,true, 0.5,,,
helfen         ,helfen       ;hilft            ;half               ;hat#geholfen              ,help           ,                     ,true, 0.5,,,
kennen         ,kennen       ;kennt            ;kannte             ;hat#gekannt               ,know           ,                     ,true, 0.5,,,
klingen        ,klingen      ;klingt           ;klang              ;hat#geklungen             ,ring           ,                     ,true, 0.5,,,
kneifen        ,kneifen      ;kneift           ;kniff              ;hat#gekniffen             ,pinch          ,                     ,true, 0.5,,,
kommen         ,kommen       ;kommt            ;kam                ;ist#gekommen              ,come           ,                     ,true, 0.5,,,
können         ,können       ;kann             ;konnte             ;hat#gekonnt               ,can            ,be#capable#of        ,true, 0.5,,,
kriechen       ,kriechen     ;kriecht          ;kroch              ;ist#gekrochen             ,creep          ,                     ,true, 0.5,,,
laden          ,laden        ;lädt             ;lud                ;hat#geladen               ,load/invite    ,                     ,true, 0.5,,,
lassen         ,lassen       ;lässt            ;ließ               ;hat#gelassen              ,let            ,                     ,true, 0.5,,,
laufen         ,laufen       ;läuft            ;lief               ;ist#gelaufen              ,run            ,                     ,true, 0.5,,,
leiden         ,leiden       ;leidet           ;litt               ;hat#gelitten              ,suffer         ,                     ,true, 0.5,,,
leihen         ,leihen       ;leiht            ;lieh               ;hat#geliehen              ,lend           ,                     ,true, 0.5,,,
lesen          ,lesen        ;liest            ;las                ;hat#gelesen               ,read           ,                     ,true, 0.5,,,
liegen         ,liegen       ;liegt            ;lag                ;hat#gelegen               ,lie            ,                     ,true, 0.5,,,
löschen        ,löschen      ;löscht           ;losch              ;hat#geloschen             ,clear/erase    ,                     ,true, 0.5,,,
lügen          ,lügen        ;lügt             ;log                ;hat#gelogen               ,lie            ,                     ,true, 0.5,,,
mahlen         ,mahlen       ;mahlt            ;mahlte             ;hat#gemahlen              ,grind          ,                     ,true, 0.5,,,
meiden         ,meiden       ;meidet           ;mied               ;hat#gemieden              ,avoid          ,                     ,true, 0.5,,,
melken         ,melken       ;melkt            ;melkte             ;hat#gemolken/gemelkt      ,milk           ,                     ,true, 0.5,,,
messen         ,messen       ;misst            ;maß                ;hat#gemessen              ,measure        ,                     ,true, 0.5,,,
mißlingen      ,mißlingen    ;mißlingt         ;mißlang            ;ist#mißlungen             ,fail           ,                     ,true, 0.5,,,
mögen          ,mögen        ;mag              ;mochte             ;hat#gemocht               ,like/want      ,                     ,true, 0.5,,,
